nama_kota,uhh,hls,rls,pengeluaran_kapita,capaian_ipm
Bogor_2015,70.59,11.83,7.75,9368,67.77
Sukabumi_2015,70.03,12.13,6.51,7849,64.44
Cianjur_2015,69.28,11.83,6.54,6877,62.42
Bandung_2015,73.07,12.13,8.41,9375,70.05
Garut_2015,70.69,11.65,6.84,6875,63.21
Tasikmalaya_2015,68.36,12.44,6.88,6934,63.17
Ciamis_2015,70.74,13.59,7.45,8296,68.02
Kuningan_2015,72.64,12.03,7.2,8516,67.19
Cirebon_2015,71.38,11.79,6.32,9261,66.07
Majalengka_2015,69.06,11.74,6.8,8477,64.75
Sumedang_2015,71.91,12.9,7.66,9279,69.29
Indramayu_2015,70.59,12.09,5.46,8769,64.36
Subang_2015,71.52,11.46,6.45,9831,66.52
Purwakarta_2015,70.26,11.44,7.35,10550,67.84
Karawang_2015,71.55,11.69,6.81,10217,67.66
Bekasi_2015,73.18,11.93,8.66,10323,71.19
Bandung Barat_2015,71.76,11.39,7.53,7522,65.23
Pangandaran_2015,70.24,11.99,7.06,8265,65.62
Kota Bogor_2015,72.88,12.36,10.2,10576,73.65
Kota Sukabumi_2015,71.86,13.24,9.08,9729,71.84
Kota Bandung_2015,73.82,13.63,10.52,15609,79.67
Kota Cirebon_2015,71.79,12.94,9.76,10732,73.34
Kota Bekasi_2015,74.48,13.36,10.71,15116,79.63
Kota Depok_2015,73.98,13.54,10.71,14424,79.11
Kota Cimahi_2015,73.58,13.73,10.78,11012,76.42
Kota Tasikmalaya_2015,71.26,13.37,8.56,8785,69.99
Kota Banjar_2015,70.26,12.95,8.06,9476,69.31
Bogor_2016,70.65,12.05,7.83,9537,68.32
Sukabumi_2016,70.14,12.18,6.74,8077,65.13
Cianjur_2016,69.39,11.88,6.61,7074,62.92
Bandung_2016,73.1,12.42,8.5,9580,70.69
Garut_2016,70.76,11.69,6.88,7079,63.64
Tasikmalaya_2016,68.54,12.46,6.94,7081,63.57
Ciamis_2016,70.9,13.65,7.55,8432,68.45
Kuningan_2016,72.76,12.04,7.34,8580,67.51
Cirebon_2016,71.43,12.03,6.41,9463,66.7
Majalengka_2016,69.22,11.89,6.89,8594,65.25
Sumedang_2016,71.96,12.91,7.72,9339,69.45
Indramayu_2016,70.72,12.2,5.56,8866,64.78
Subang_2016,71.61,11.66,6.58,10012,67.14
Purwakarta_2016,70.34,11.82,7.42,10732,68.56
Karawang_2016,71.6,11.85,6.94,10379,68.19
Bekasi_2016,73.24,12.23,8.81,10435,71.83
Bandung Barat_2016,71.82,11.56,7.63,7698,65.81
Pangandaran_2016,70.4,12.02,7.07,8312,65.79
Kota Bogor_2016,72.95,13.01,10.28,10662,74.5
Kota Sukabumi_2016,71.9,13.38,9.28,9819,72.33
Kota Bandung_2016,73.84,13.89,10.58,15805,80.13
Kota Cirebon_2016,71.83,13.07,9.87,10824,73.7
Kota Bekasi_2016,74.55,13.47,10.78,15236,79.95
Kota Depok_2016,74.01,13.86,10.76,14560,79.6
Kota Cimahi_2016,73.59,13.75,10.89,11141,76.69
Kota Tasikmalaya_2016,71.37,13.4,8.63,9145,70.58
Kota Banjar_2016,70.33,13.18,8.19,9815,70.09
Bogor_2017,70.7,12.43,7.84,9901,69.13
Sukabumi_2017,70.26,12.19,6.79,8263,65.49
Cianjur_2017,69.49,11.89,6.92,7300,63.7
Bandung_2017,73.13,12.43,8.51,9854,71.02
Garut_2017,70.84,11.73,7.28,7270,64.52
Tasikmalaya_2017,68.71,12.47,7.12,7250,64.14
Ciamis_2017,71.07,13.66,7.59,8658,68.87
Kuningan_2017,72.88,12.06,7.35,8736,67.78
Cirebon_2017,71.49,12.21,6.61,9650,67.39
